Employee;Week;Hours
Diederik;W40.2022;24
Diederik;W41.2022;24
Diederik;W42.2022;24
Diederik;W43.2022;24
Diederik;W44.2022;24
Diederik;W45.2022;24
Diederik;W46.2022;24
Diederik;W47.2022;24
Diederik;W48.2022;24
Diederik;W49.2022;24
Diederik;W50.2022;24
Diederik;W51.2022;24
Diederik;W52.2022;24
Diederik;W01.2023;24
Diederik;W02.2023;24
Diederik;W03.2023;24
Diederik;W04.2023;24
Diederik;W05.2023;24
Diederik;W06.2023;24
Diederik;W07.2023;24
Diederik;W08.2023;24
Diederik;W09.2023;24
Diederik;W10.2023;24
Diederik;W11.2023;24
Diederik;W12.2023;24
Diederik;W13.2023;24
Diederik;W14.2023;24
Diederik;W15.2023;24
Diederik;W16.2023;24
Diederik;W17.2023;24
Diederik;W18.2023;24
Diederik;W19.2023;24
Diederik;W20.2023;24
Diederik;W21.2023;24
Diederik;W22.2023;24
Diederik;W23.2023;24
Diederik;W24.2023;24
Diederik;W25.2023;24
Diederik;W26.2023;24
Diederik;W27.2023;24
Diederik;W28.2023;24
Diederik;W29.2023;24
Diederik;W30.2023;24
Diederik;W31.2023;24
Diederik;W32.2023;24
Diederik;W33.2023;24
Diederik;W34.2023;24
Diederik;W35.2023;24
Diederik;W36.2023;24
Diederik;W37.2023;24
Diederik;W38.2023;24
Diederik;W39.2023;24
Diederik;W40.2023;24
Diederik;W41.2023;24
Diederik;W42.2023;24
Diederik;W43.2023;24
Diederik;W44.2023;24
Diederik;W45.2023;24
Diederik;W46.2023;24
Diederik;W47.2023;24
Diederik;W48.2023;24
Diederik;W49.2023;24
Diederik;W50.2023;24
Diederik;W51.2023;24
Diederik;W52.2023;24
Jochem;W01.2022;16
Jochem;W02.2022;16
Jochem;W03.2022;32
Jochem;W04.2022;32
Jochem;W05.2022;32
Jochem;W06.2022;32
Jochem;W07.2022;32
Jochem;W08.2022;24
Jochem;W09.2022;24
Jochem;W10.2022;24
Jochem;W11.2022;24
Jochem;W12.2022;24
Jochem;W13.2022;24
Jochem;W14.2022;24
Jochem;W15.2022;24
Jochem;W16.2022;24
Jochem;W17.2022;24
Jochem;W18.2022;24
Jochem;W19.2022;24
Jochem;W20.2022;24
Jochem;W21.2022;24
Jochem;W22.2022;24
Jochem;W23.2022;24
Jochem;W24.2022;24
Jochem;W25.2022;24
Jochem;W26.2022;24
Jochem;W27.2022;24
Jochem;W28.2022;24
Jochem;W29.2022;24
Jochem;W30.2022;24
Jochem;W31.2022;24
Jochem;W32.2022;24
Jochem;W33.2022;24
Jochem;W34.2022;24
Jochem;W35.2022;24
Jochem;W36.2022;24
Jochem;W37.2022;24
Jochem;W38.2022;24
Jochem;W39.2022;24
Jochem;W40.2022;24
Jochem;W41.2022;24
Jochem;W42.2022;24
Jochem;W43.2022;24
Jochem;W44.2022;24
Jochem;W45.2022;24
Jochem;W46.2022;24
Jochem;W47.2022;24
Jochem;W48.2022;24
Jochem;W49.2022;24
Jochem;W50.2022;24
Jochem;W51.2022;24
Jochem;W52.2022;24
Jochem;W01.2023;24
Jochem;W02.2023;24
Jochem;W03.2023;40
Jochem;W04.2023;40
Jochem;W05.2023;40
Jochem;W06.2023;40
Jochem;W07.2023;40
Jochem;W08.2023;40
Jochem;W09.2023;40
Jochem;W10.2023;40
Jochem;W11.2023;40
Jochem;W12.2023;40
Jochem;W13.2023;40
Jochem;W14.2023;40
Jochem;W15.2023;40
Jochem;W16.2023;40
Jochem;W17.2023;40
Jochem;W18.2023;40
Jochem;W19.2023;40
Jochem;W20.2023;40
Jochem;W21.2023;40
Jochem;W22.2023;40
Jochem;W23.2023;40
Jochem;W24.2023;40
Jochem;W25.2023;40
Jochem;W26.2023;40
Jochem;W27.2023;40
Jochem;W28.2023;40
Jochem;W29.2023;40
Jochem;W30.2023;40
Jochem;W31.2023;40
Jochem;W32.2023;40
Jochem;W33.2023;40
Jochem;W34.2023;40
Jochem;W35.2023;40
Jochem;W36.2023;40
Jochem;W37.2023;40
Jochem;W38.2023;40
Jochem;W39.2023;40
Jochem;W40.2023;40
Jochem;W41.2023;40
Jochem;W42.2023;40
Jochem;W43.2023;40
Jochem;W44.2023;40
Jochem;W45.2023;40
Jochem;W46.2023;40
Jochem;W47.2023;40
Jochem;W48.2023;40
Jochem;W49.2023;40
Jochem;W50.2023;40
Jochem;W51.2023;40
Jochem;W52.2023;40
Samuel;W01.2022;40
Samuel;W02.2022;40
Samuel;W03.2022;40
Samuel;W04.2022;40
Samuel;W05.2022;40
Samuel;W06.2022;40
Samuel;W07.2022;40
Samuel;W08.2022;40
Samuel;W09.2022;40
Samuel;W10.2022;40
Samuel;W11.2022;40
Samuel;W12.2022;40
Samuel;W13.2022;40
Samuel;W14.2022;40
Samuel;W15.2022;40
Samuel;W16.2022;40
Samuel;W17.2022;40
Samuel;W18.2022;40
Samuel;W19.2022;40
Samuel;W20.2022;40
Samuel;W21.2022;40
Samuel;W22.2022;40
Samuel;W23.2022;40
Samuel;W24.2022;40
Samuel;W25.2022;40
Samuel;W26.2022;40
Samuel;W27.2022;40
Samuel;W28.2022;40
Samuel;W29.2022;40
Samuel;W30.2022;40
Samuel;W31.2022;40
Samuel;W32.2022;40
Samuel;W33.2022;40
Samuel;W34.2022;40
Samuel;W35.2022;40
Samuel;W36.2022;40
Samuel;W37.2022;40
Samuel;W38.2022;40
Samuel;W39.2022;40
Samuel;W40.2022;40
Samuel;W41.2022;40
Samuel;W42.2022;40
Samuel;W43.2022;40
Samuel;W44.2022;40
Samuel;W45.2022;40
Samuel;W46.2022;40
Samuel;W47.2022;40
Samuel;W48.2022;40
Samuel;W49.2022;40
Samuel;W50.2022;40
Samuel;W51.2022;40
Samuel;W52.2022;40
Samuel;W01.2023;40
Samuel;W02.2023;40
Samuel;W03.2023;40
Samuel;W04.2023;40
Samuel;W05.2023;40
Samuel;W06.2023;40
Samuel;W07.2023;40
Samuel;W08.2023;40
Samuel;W09.2023;40
Samuel;W10.2023;40
Samuel;W11.2023;40
Samuel;W12.2023;40
Samuel;W13.2023;40
Samuel;W14.2023;40
Samuel;W15.2023;8
Samuel;W16.2023;8
Samuel;W17.2023;8
Samuel;W18.2023;8
Samuel;W19.2023;8
Samuel;W20.2023;8
Samuel;W21.2023;8
Samuel;W22.2023;8
Samuel;W23.2023;8
Samuel;W24.2023;8
Samuel;W25.2023;40
Samuel;W26.2023;40
Samuel;W27.2023;40
Samuel;W28.2023;40
Samuel;W29.2023;40
Samuel;W30.2023;40
Samuel;W31.2023;40
Samuel;W32.2023;40
Samuel;W33.2023;40
Samuel;W34.2023;40
Samuel;W35.2023;40
Samuel;W36.2023;40
Samuel;W37.2023;40
Samuel;W38.2023;40
Samuel;W39.2023;40
Samuel;W40.2023;40
Samuel;W41.2023;40
Samuel;W42.2023;40
Samuel;W43.2023;40
Samuel;W44.2023;40
Samuel;W45.2023;40
Samuel;W46.2023;40
Samuel;W47.2023;40
Samuel;W48.2023;40
Samuel;W49.2023;40
Samuel;W50.2023;40
Samuel;W51.2023;40
Samuel;W52.2023;40
Olivier;W01.2022;8
Olivier;W02.2022;8
Olivier;W03.2022;8
Olivier;W04.2022;8
Olivier;W05.2022;8
Olivier;W06.2022;8
Olivier;W07.2022;8
Olivier;W08.2022;8
Olivier;W09.2022;8
Olivier;W10.2022;8
Olivier;W11.2022;8
Olivier;W12.2022;8
Olivier;W13.2022;8
Olivier;W14.2022;8
Olivier;W15.2022;8
Olivier;W16.2022;8
Olivier;W17.2022;8
Olivier;W18.2022;8
Olivier;W19.2022;8
Olivier;W20.2022;8
Olivier;W21.2022;8
Olivier;W22.2022;8
Olivier;W23.2022;8
Olivier;W24.2022;8
Olivier;W25.2022;8
Olivier;W26.2022;8
Olivier;W27.2022;8
Olivier;W28.2022;8
Olivier;W29.2022;8
Olivier;W30.2022;8
Olivier;W31.2022;8
Olivier;W32.2022;8
Olivier;W33.2022;8
Olivier;W34.2022;8
Olivier;W35.2022;8
Olivier;W36.2022;8
Olivier;W37.2022;8
Olivier;W38.2022;8
Olivier;W39.2022;8
Olivier;W40.2022;8
Olivier;W41.2022;8
Olivier;W42.2022;24
Olivier;W43.2022;24
Olivier;W44.2022;24
Olivier;W45.2022;24
Olivier;W46.2022;24
Olivier;W47.2022;24
Olivier;W48.2022;24
Olivier;W49.2022;24
Olivier;W50.2022;24
Olivier;W51.2022;24
Olivier;W52.2022;24
Olivier;W01.2023;24
Olivier;W02.2023;24
Olivier;W03.2023;24
Olivier;W04.2023;24
Olivier;W05.2023;24
Olivier;W06.2023;24
Olivier;W07.2023;24
Olivier;W08.2023;24
Olivier;W09.2023;24
Olivier;W10.2023;24
Olivier;W11.2023;24
Olivier;W12.2023;24
Olivier;W13.2023;24
Olivier;W14.2023;24
Olivier;W15.2023;24
Olivier;W16.2023;24
Olivier;W17.2023;24
Olivier;W18.2023;24
Olivier;W19.2023;24
Olivier;W20.2023;24
Olivier;W21.2023;24
Olivier;W22.2023;24
Olivier;W23.2023;24
Olivier;W24.2023;24
Olivier;W25.2023;24
Olivier;W26.2023;24
Olivier;W27.2023;24
Olivier;W28.2023;24
Olivier;W29.2023;24
Olivier;W30.2023;24
Olivier;W31.2023;32
Olivier;W32.2023;32
Olivier;W33.2023;32
Olivier;W34.2023;32
Olivier;W35.2023;32
Olivier;W36.2023;32
Olivier;W37.2023;32
Olivier;W38.2023;32
Olivier;W39.2023;32
Olivier;W40.2023;32
Olivier;W41.2023;32
Olivier;W42.2023;32
Olivier;W43.2023;32
Olivier;W44.2023;32
Olivier;W45.2023;32
Olivier;W46.2023;32
Olivier;W47.2023;32
Olivier;W48.2023;32
Olivier;W49.2023;32
Olivier;W50.2023;32
Olivier;W51.2023;32
Olivier;W52.2023;32
Emma;W01.2022;32
Emma;W02.2022;32
Emma;W03.2022;32
Emma;W04.2022;32
Emma;W05.2022;32
Emma;W06.2022;32
Emma;W07.2022;32
Emma;W08.2022;32
Emma;W09.2022;32
Emma;W10.2022;32
Emma;W11.2022;32
Emma;W12.2022;32
Emma;W13.2022;32
Emma;W14.2022;32
Emma;W15.2022;32
Emma;W16.2022;32
Emma;W17.2022;32
Emma;W18.2022;32
Emma;W19.2022;32
Emma;W20.2022;32
Emma;W21.2022;32
Emma;W22.2022;32
Emma;W23.2022;32
Emma;W24.2022;32
Emma;W25.2022;32
Emma;W26.2022;32
Emma;W27.2022;32
Emma;W28.2022;32
Emma;W29.2022;32
Emma;W30.2022;32
Emma;W31.2022;32
Emma;W32.2022;32
Emma;W33.2022;32
Emma;W34.2022;32
Emma;W35.2022;32
Emma;W36.2022;32
Emma;W37.2022;32
Emma;W38.2022;32
Emma;W39.2022;32
Emma;W40.2022;32
Emma;W41.2022;32
Emma;W42.2022;32
Emma;W43.2022;32
Emma;W44.2022;32
Emma;W45.2022;32
Emma;W46.2022;32
Emma;W47.2022;32
Emma;W48.2022;32
Emma;W49.2022;32
Emma;W50.2022;32
Emma;W51.2022;32
Emma;W52.2022;32
Emma;W01.2023;32
Emma;W02.2023;32
Emma;W03.2023;32
Emma;W04.2023;32
Emma;W05.2023;32
Emma;W06.2023;32
Emma;W07.2023;32
Emma;W08.2023;32
Emma;W09.2023;32
Emma;W10.2023;32
Emma;W11.2023;40
Emma;W12.2023;40
Emma;W13.2023;40
Emma;W14.2023;40
Emma;W15.2023;40
Emma;W16.2023;40
Emma;W17.2023;40
Emma;W18.2023;40
Emma;W19.2023;40
Emma;W20.2023;40
Emma;W21.2023;40
Emma;W22.2023;40
Emma;W23.2023;40
Emma;W24.2023;40
Emma;W25.2023;40
Emma;W26.2023;40
Emma;W27.2023;40
Emma;W28.2023;40
Emma;W29.2023;40
Emma;W30.2023;40
Emma;W31.2023;40
Emma;W32.2023;40
Emma;W33.2023;40
Emma;W34.2023;40
Emma;W35.2023;40
Emma;W36.2023;40
Emma;W37.2023;40
Emma;W38.2023;40
Emma;W39.2023;40
Emma;W40.2023;40
Emma;W41.2023;40
Emma;W42.2023;40
Emma;W43.2023;40
Emma;W44.2023;40
Emma;W45.2023;40
Emma;W46.2023;40
Emma;W47.2023;40
Emma;W48.2023;40
Emma;W49.2023;40
Emma;W50.2023;40
Emma;W51.2023;40
Emma;W52.2023;40
Rik;W01.2022;8
Rik;W02.2022;8
Rik;W03.2022;8
Rik;W04.2022;8
Rik;W05.2022;8
Rik;W06.2022;8
Rik;W07.2022;8
Rik;W08.2022;8
Rik;W09.2022;8
Rik;W10.2022;8
Rik;W11.2022;8
Rik;W12.2022;8
Rik;W13.2022;8
Rik;W14.2022;8
Rik;W15.2022;8
Rik;W16.2022;8
Rik;W17.2022;8
Rik;W18.2022;8
Rik;W19.2022;8
Rik;W20.2022;8
Rik;W21.2022;8
Rik;W22.2022;8
Rik;W23.2022;8
Rik;W24.2022;8
Rik;W25.2022;8
Rik;W26.2022;8
Rik;W27.2022;8
Rik;W28.2022;8
Rik;W29.2022;8
Rik;W30.2022;8
Rik;W31.2022;8
Rik;W32.2022;8
Rik;W33.2022;8
Rik;W34.2022;8
Rik;W35.2022;8
Rik;W36.2022;8
Rik;W37.2022;8
Rik;W38.2022;8
Rik;W39.2022;8
Rik;W40.2022;8
Rik;W41.2022;8
Rik;W42.2022;8
Rik;W43.2022;8
Rik;W44.2022;8
Rik;W45.2022;8
Rik;W46.2022;8
Rik;W47.2022;8
Rik;W48.2022;8
Rik;W49.2022;8
Rik;W50.2022;8
Rik;W51.2022;8
Rik;W52.2022;8
Rik;W01.2023;8
Rik;W02.2023;8
Rik;W03.2023;8
Rik;W04.2023;8
Rik;W05.2023;8
Rik;W06.2023;8
Rik;W07.2023;8
Rik;W08.2023;8
Rik;W09.2023;8
Rik;W10.2023;8
Rik;W11.2023;8
Rik;W12.2023;8
Rik;W13.2023;8
Rik;W14.2023;8
Rik;W15.2023;8
Rik;W16.2023;8
Rik;W17.2023;8
Rik;W18.2023;8
Rik;W19.2023;8
Rik;W20.2023;8
Rik;W21.2023;8
Rik;W22.2023;8
Rik;W23.2023;8
Rik;W24.2023;8
Rik;W25.2023;8
Rik;W26.2023;8
Rik;W27.2023;8
Rik;W28.2023;8
Rik;W29.2023;8
Rik;W30.2023;8
Rik;W31.2023;8
Rik;W32.2023;8
Rik;W33.2023;8
Rik;W34.2023;8
Rik;W35.2023;8
Rik;W36.2023;8
Rik;W37.2023;8
Rik;W38.2023;8
Rik;W39.2023;8
Rik;W40.2023;8
Rik;W41.2023;8
Rik;W42.2023;8
Rik;W43.2023;8
Rik;W44.2023;8
Rik;W45.2023;8
Rik;W46.2023;8
Rik;W47.2023;8
Rik;W48.2023;8
Rik;W49.2023;8
Rik;W50.2023;8
Rik;W51.2023;8
Rik;W52.2023;8
Bob;W01.2022;40
Bob;W02.2022;40
Bob;W03.2022;40
Bob;W04.2022;40
Bob;W05.2022;40
Bob;W06.2022;40
Bob;W07.2022;40
Bob;W08.2022;40
Bob;W09.2022;40
Bob;W10.2022;40
Bob;W11.2022;40
Bob;W12.2022;40
Bob;W13.2022;40
Bob;W14.2022;40
Bob;W15.2022;40
Bob;W16.2022;40
Bob;W17.2022;40
Bob;W18.2022;40
Bob;W19.2022;40
Bob;W20.2022;40
Bob;W21.2022;40
Bob;W22.2022;40
Bob;W23.2022;40
Bob;W24.2022;40
Bob;W25.2022;40
Bob;W26.2022;40
Bob;W27.2022;40
Bob;W28.2022;40
Bob;W29.2022;40
Bob;W30.2022;40
Bob;W31.2022;40
Bob;W32.2022;40
Bob;W33.2022;40
Bob;W34.2022;40
Bob;W35.2022;40
Bob;W36.2022;40
Bob;W37.2022;40
Bob;W38.2022;40
Bob;W39.2022;40
Bob;W40.2022;40
Bob;W41.2022;40
Bob;W42.2022;40
Bob;W43.2022;40
Bob;W44.2022;40
Bob;W45.2022;40
Bob;W46.2022;40
Bob;W47.2022;40
Bob;W48.2022;40
Bob;W49.2022;40
Bob;W50.2022;40
Bob;W51.2022;40
Bob;W52.2022;40
Bob;W01.2023;40
Bob;W02.2023;40
Bob;W03.2023;40
Bob;W04.2023;40
Bob;W05.2023;40
Bob;W06.2023;40
Bob;W07.2023;40
Bob;W08.2023;40
Bob;W09.2023;40
Bob;W10.2023;40
Bob;W11.2023;40
Bob;W12.2023;40
Bob;W13.2023;40
Bob;W14.2023;40
Bob;W15.2023;40
Bob;W16.2023;40
Bob;W17.2023;40
Bob;W18.2023;40
Bob;W19.2023;40
Bob;W20.2023;40
Bob;W21.2023;40
Bob;W22.2023;40
Bob;W23.2023;40
Bob;W24.2023;40
Bob;W25.2023;40
Bob;W26.2023;40
Bob;W27.2023;40
Bob;W28.2023;40
Bob;W29.2023;40
Bob;W30.2023;40
Bob;W31.2023;40
Bob;W32.2023;40
Bob;W33.2023;40
Bob;W34.2023;40
Bob;W35.2023;40
Bob;W36.2023;40
Bob;W37.2023;40
Bob;W38.2023;40
Bob;W39.2023;40
Bob;W40.2023;40
Bob;W41.2023;40
Bob;W42.2023;40
Bob;W43.2023;40
Bob;W44.2023;40
Bob;W45.2023;40
Bob;W46.2023;40
Bob;W47.2023;40
Bob;W48.2023;40
Bob;W49.2023;40
Bob;W50.2023;40
Bob;W51.2023;40
Bob;W52.2023;40
Erika;W01.2022;16
Erika;W02.2022;16
Erika;W03.2022;16
Erika;W04.2022;16
Erika;W05.2022;16
Erika;W06.2022;16
Erika;W07.2022;16
Erika;W08.2022;16
Erika;W09.2022;16
Erika;W10.2022;16
Erika;W11.2022;16
Erika;W12.2022;16
Erika;W13.2022;16
Erika;W14.2022;16
Erika;W15.2022;16
Erika;W16.2022;16
Erika;W17.2022;16
Erika;W18.2022;16
Erika;W19.2022;16
Erika;W20.2022;16
Erika;W21.2022;16
Erika;W22.2022;16
Erika;W23.2022;16
Erika;W24.2022;16
Erika;W25.2022;16
Erika;W26.2022;16
Erika;W27.2022;16
Erika;W28.2022;16
Erika;W29.2022;16
Erika;W30.2022;16
Erika;W31.2022;16
Erika;W32.2022;16
Erika;W33.2022;16
Erika;W34.2022;16
Erika;W35.2022;16
Erika;W36.2022;16
Erika;W37.2022;16
Erika;W38.2022;16
Erika;W39.2022;16
Erika;W40.2022;16
Erika;W41.2022;8
Erika;W42.2022;8
Erika;W43.2022;8
Erika;W44.2022;8
Erika;W45.2022;8
Erika;W46.2022;8
Erika;W47.2022;8
Erika;W48.2022;8
Erika;W49.2022;8
Erika;W50.2022;8
Erika;W51.2022;8
Erika;W52.2022;8
Erika;W01.2023;8
Erika;W02.2023;8
Erika;W03.2023;8
Erika;W04.2023;8
Erika;W05.2023;8
Erika;W06.2023;8
Erika;W07.2023;8
Erika;W08.2023;8
Erika;W09.2023;8
Erika;W10.2023;8
Erika;W11.2023;8
Erika;W12.2023;8
Erika;W13.2023;8
Erika;W14.2023;8
Erika;W15.2023;8
Erika;W16.2023;8
Erika;W17.2023;8
Erika;W18.2023;8
Erika;W19.2023;8
Erika;W20.2023;8
Erika;W21.2023;8
Erika;W22.2023;8
Erika;W23.2023;8
Erika;W24.2023;8
Erika;W25.2023;8
Erika;W26.2023;8
Erika;W27.2023;8
Erika;W28.2023;8
Erika;W29.2023;8
Erika;W30.2023;8
Erika;W31.2023;8
Erika;W32.2023;8
Erika;W33.2023;8
Erika;W34.2023;8
Erika;W35.2023;8
Erika;W36.2023;8
Erika;W37.2023;8
Erika;W38.2023;8
Erika;W39.2023;8
Erika;W40.2023;8
Erika;W41.2023;8
Erika;W42.2023;8
Erika;W43.2023;8
Erika;W44.2023;8
Erika;W45.2023;8
Erika;W46.2023;8
Erika;W47.2023;8
Erika;W48.2023;8
Erika;W49.2023;8
Erika;W50.2023;8
Erika;W51.2023;8
Erika;W52.2023;8
Femke;W01.2022;8
Femke;W02.2022;8
Femke;W03.2022;8
Femke;W04.2022;8
Femke;W05.2022;8
Femke;W06.2022;8
Femke;W07.2022;8
Femke;W08.2022;8
Femke;W09.2022;8
Femke;W10.2022;8
Femke;W11.2022;8
Femke;W12.2022;8
Femke;W13.2022;8
Femke;W14.2022;8
Femke;W15.2022;8
Femke;W16.2022;8
Femke;W17.2022;8
Femke;W18.2022;8
Femke;W19.2022;8
Femke;W20.2022;8
Femke;W21.2022;8
Femke;W22.2022;8
Femke;W23.2022;8
Femke;W24.2022;8
Femke;W25.2022;8
Femke;W26.2022;8
Femke;W27.2022;8
Femke;W28.2022;8
Femke;W29.2022;8
Femke;W30.2022;8
Femke;W31.2022;8
Femke;W32.2022;8
Femke;W33.2022;8
Femke;W34.2022;8
Femke;W35.2022;8
Femke;W36.2022;8
Femke;W37.2022;8
Femke;W38.2022;8
Femke;W39.2022;8
Femke;W40.2022;8
Femke;W41.2022;8
Femke;W42.2022;8
Femke;W43.2022;8
Femke;W44.2022;8
Femke;W45.2022;8
Femke;W46.2022;8
Femke;W47.2022;8
Femke;W48.2022;8
Femke;W49.2022;8
Femke;W50.2022;8
Femke;W51.2022;8
Femke;W52.2022;8
Femke;W01.2023;8
Femke;W02.2023;8
Femke;W03.2023;8
Femke;W04.2023;8
Femke;W05.2023;8
Femke;W06.2023;8
Femke;W07.2023;8
Femke;W08.2023;8
Femke;W09.2023;8
Femke;W10.2023;8
Femke;W11.2023;8
Femke;W12.2023;8
Femke;W13.2023;8
Femke;W14.2023;8
Femke;W15.2023;8
Femke;W16.2023;8
Femke;W17.2023;8
Femke;W18.2023;8
Femke;W19.2023;8
Femke;W20.2023;8
Femke;W21.2023;8
Femke;W22.2023;8
Femke;W23.2023;8
Femke;W24.2023;8
Femke;W25.2023;8
Femke;W26.2023;8
Femke;W27.2023;8
Femke;W28.2023;8
Femke;W29.2023;8
Femke;W30.2023;8
Femke;W31.2023;8
Femke;W32.2023;8
Femke;W33.2023;8
Femke;W34.2023;8
Femke;W35.2023;8
Femke;W36.2023;8
Femke;W37.2023;8
Femke;W38.2023;8
Femke;W39.2023;8
Femke;W40.2023;8
Femke;W41.2023;8
Femke;W42.2023;8
Femke;W43.2023;8
Femke;W44.2023;8
Femke;W45.2023;8
Femke;W46.2023;8
Femke;W47.2023;8
Femke;W48.2023;8
Femke;W49.2023;8
Femke;W50.2023;8
Femke;W51.2023;8
Femke;W52.2023;8
Kim;W01.2022;8
Kim;W02.2022;8
Kim;W03.2022;8
Kim;W04.2022;8
Kim;W05.2022;8
Kim;W06.2022;8
Kim;W07.2022;8
Kim;W08.2022;8
Kim;W09.2022;8
Kim;W10.2022;8
Kim;W11.2022;8
Kim;W12.2022;8
Kim;W13.2022;8
Kim;W14.2022;8
Kim;W15.2022;8
Kim;W16.2022;8
Kim;W17.2022;8
Kim;W18.2022;8
Kim;W19.2022;8
Kim;W20.2022;8
Kim;W21.2022;8
Kim;W22.2022;8
Kim;W23.2022;8
Kim;W24.2022;8
Kim;W25.2022;8
Kim;W26.2022;8
Kim;W27.2022;8
Kim;W28.2022;8
Kim;W29.2022;8
Kim;W30.2022;8
Kim;W31.2022;8
Kim;W32.2022;8
Kim;W33.2022;8
Kim;W34.2022;8
Kim;W35.2022;8
Kim;W36.2022;8
Kim;W37.2022;8
Kim;W38.2022;8
Kim;W39.2022;8
Kim;W40.2022;8
Kim;W41.2022;8
Kim;W42.2022;8
Kim;W43.2022;24
Kim;W44.2022;24
Kim;W45.2022;24
Kim;W46.2022;24
Kim;W47.2022;24
Kim;W48.2022;24
Kim;W49.2022;24
Kim;W50.2022;24
Kim;W51.2022;24
Kim;W52.2022;24
Kim;W01.2023;24
Kim;W02.2023;24
Kim;W03.2023;24
Kim;W04.2023;24
Kim;W05.2023;24
Kim;W06.2023;24
Kim;W07.2023;24
Kim;W08.2023;24
Kim;W09.2023;24
Kim;W10.2023;8
Kim;W11.2023;8
Kim;W12.2023;8
Kim;W13.2023;8
Kim;W14.2023;8
Kim;W15.2023;8
Kim;W16.2023;8
Kim;W17.2023;8
Kim;W18.2023;8
Kim;W19.2023;8
Kim;W20.2023;8
Kim;W21.2023;8
Kim;W22.2023;8
Kim;W23.2023;8
Kim;W24.2023;8
Kim;W25.2023;8
Kim;W26.2023;8
Kim;W27.2023;8
Kim;W28.2023;8
Kim;W29.2023;8
